Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Num,HBIPS-3 Measure Description,HBIPS-3 Overall Num,HBIPS-5 Measure Description,HBIPS-5 Denominator,SUB-2/-2a Measure Description,SUB-2 Denominator,TOB-2/-2a Measure_Desc,TOB-2 Denominator,FUH Measure Description,FUH-30 %,READM-30-IPF Measure Desc,READM-30-IPF Category,Location
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,Hours of physical-restraint use,8,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,41,Alcohol use brief intervention provided or offered,142,Tobacco use treatment provided or offered,189,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54.3,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"4077 5TH AVE SAN DIEGO, CA 92103 (32.751211, -117.161024)"
50272,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BLVD,REDLANDS,CA,92373,SAN BERNARDINO,Hours of physical-restraint use,20.45,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,14,Alcohol use brief intervention provided or offered,105,Tobacco use treatment provided or offered,242,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"350 TERRACINA BLVD REDLANDS, CA 92373 (34.038404, -117.206414)"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,Hours of physical-restraint use,79.83,Hours of seclusion use,1.18,Patients discharged on multiple antipsychotic medications with appropriate justification,54,Alcohol use brief intervention provided or offered,81,Tobacco use treatment provided or offered,126,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.9,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,TOLLAND,Hours of physical-restraint use,20.92,Hours of seclusion use,8.35,Patients discharged on multiple antipsychotic medications with appropriate justification,11,Alcohol use brief intervention provided or offered,231,Tobacco use treatment provided or offered,361,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,56.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
100135,TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,Hours of physical-restraint use,9.11,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,18,Alcohol use brief intervention provided or offered,106,Tobacco use treatment provided or offered,209,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1300 MICCOSUKEE RD TALLAHASSEE, FL 32308 (30.455849, -84.261757)"
100191,MEDICAL CENTER OF TRINITY,"9330 SR 54, STE 401",TRINITY,FL,34655,PASCO,Hours of physical-restraint use,65.8,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,159,Tobacco use treatment provided or offered,367,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,35.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"9330 SR 54, STE 401 TRINITY, FL 34655 (28.206014, -82.660964)"
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,DE KALB,Hours of physical-restraint use,9.58,Hours of seclusion use,48.01,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,47,Tobacco use treatment provided or offered,77,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,70.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1364 CLIFTON ROAD, NE ATLANTA, GA 30322 (33.791881, -84.320977)"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,Hours of physical-restraint use,200.97,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,113,Tobacco use treatment provided or offered,358,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,24.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,Hours of physical-restraint use,39.25,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,15,Alcohol use brief intervention provided or offered,98,Tobacco use treatment provided or offered,185,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,72.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"25 NORTH WINFIELD ROAD WINFIELD, IL 60190 (41.873765, -88.158095)"
154060,"PARK CENTER, INC",1909 CAREW STREET,FORT WAYNE,IN,46805,ALLEN,Hours of physical-restraint use,0.38,Hours of seclusion use,44.65,Patients discharged on multiple antipsychotic medications with appropriate justification,86,Alcohol use brief intervention provided or offered,66,Tobacco use treatment provided or offered,196,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1909 CAREW STREET FORT WAYNE, IN 46805 (41.093791, -85.108024)"
