Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-5 Measure Description,HBIPS-5 Denominator,SUB-3/-3a Measure Description,SUB-3 Denominator,TOB-3/-3a Measure Description,TOB-3 Denominator,FUH Measure Description,FUH-30 Denominator,READM-30-IPF Measure Desc,READM-30-IPF Denominator
50077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,Patients discharged on multiple antipsychotic medications with appropriate justification,41,Alcohol and other drug use disorder treatment provided or offered at discharge,367,Tobacco use treatment provided or offered at discharge,176,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,92,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),319
50272,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BLVD,REDLANDS,CA,92373,SAN BERNARDINO,Patients discharged on multiple antipsychotic medications with appropriate justification,14,Alcohol and other drug use disorder treatment provided or offered at discharge,322,Tobacco use treatment provided or offered at discharge,239,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),111
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,Patients discharged on multiple antipsychotic medications with appropriate justification,54,Alcohol and other drug use disorder treatment provided or offered at discharge,141,Tobacco use treatment provided or offered at discharge,99,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,93,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),244
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076,TOLLAND,Patients discharged on multiple antipsychotic medications with appropriate justification,11,Alcohol and other drug use disorder treatment provided or offered at discharge,332,Tobacco use treatment provided or offered at discharge,327,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,69,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),245
100135,TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,Patients discharged on multiple antipsychotic medications with appropriate justification,18,Alcohol and other drug use disorder treatment provided or offered at discharge,222,Tobacco use treatment provided or offered at discharge,203,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,99,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),250
100191,MEDICAL CENTER OF TRINITY,"9330 SR 54, STE 401",TRINITY,FL,34655,PASCO,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol and other drug use disorder treatment provided or offered at discharge,420,Tobacco use treatment provided or offered at discharge,368,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,147,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),530
110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,GA,30322,DE KALB,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol and other drug use disorder treatment provided or offered at discharge,109,Tobacco use treatment provided or offered at discharge,70,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,132,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),388
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol and other drug use disorder treatment provided or offered at discharge,430,Tobacco use treatment provided or offered at discharge,331,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,49,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),157
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,Patients discharged on multiple antipsychotic medications with appropriate justification,15,Alcohol and other drug use disorder treatment provided or offered at discharge,185,Tobacco use treatment provided or offered at discharge,179,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,92,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),349
154060,"PARK CENTER, INC",1909 CAREW STREET,FORT WAYNE,IN,46805,ALLEN,Patients discharged on multiple antipsychotic medications with appropriate justification,86,Alcohol and other drug use disorder treatment provided or offered at discharge,90,Tobacco use treatment provided or offered at discharge,228,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,80,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),214
